SportArenaID	AmountOfSits	CityID	ArenaName
1	21900	1	Southfield city Arena
2	11400	2	Seattle city Arena
3	12800	3	Bendigo city Arena
4	19800	4	San Mateo city Arena
5	11200	5	Saint Matthews city Arena
6	23400	6	Chalk Riber city Arena
7	9700	7	Huntsville city Arena
8	23400	8	Suwanee city Arena
9	16800	9	Kirkby city Arena
10	9500	10	Springdale city Arena
11	12600	11	Abingdon city Arena
12	14400	12	Sammamish city Arena
13	16800	13	Maidenhead city Arena
14	14300	14	Downey city Arena
15	15400	15	Fullerton city Arena
16	13800	16	Augsburg city Arena
17	14000	17	Woonsocket city Arena
18	21500	18	Aujan Mournede city Arena
19	14100	19	Denver city Arena
20	17300	20	Federal Way city Arena
21	13000	21	Port Macquarie city Arena
22	15400	22	Pnot-Rouge city Arena
23	15500	23	Lincoln Acres city Arena
24	15400	24	Cloverdale city Arena
25	18600	25	Erlangen city Arena
26	17100	26	Racine city Arena
27	22600	27	Orange city Arena
28	19900	28	Casper city Arena
29	20200	29	Carol Stream city Arena
30	18200	30	Elk Grove city Arena
31	22900	31	Carson city Arena
32	23400	32	Roncq city Arena
33	18500	33	Kittery city Arena
34	11400	34	Irvine city Arena
35	21800	35	Baldwin Park city Arena
36	21900	36	Shelton city Arena
37	18700	37	Hillsboro city Arena
38	11000	38	Bobigny city Arena
39	13800	39	Cambridge city Arena
40	9600	40	Saginaw city Arena
41	10600	41	South Melbourne city Arena
42	12800	42	Sydney city Arena
43	19600	43	Kannapolis city Arena
44	20300	44	Warwick city Arena
45	18400	45	Sulzbach Taunus city Arena
46	16000	46	Cambridge city Arena
47	23500	47	Garland city Arena
48	18500	48	Bell Gardens city Arena
49	11300	49	Philadelphia city Arena
50	19800	50	Lynnwood city Arena
51	20300	51	Cliffside city Arena
52	21400	52	W. York city Arena
53	19600	53	National City city Arena
54	23100	54	Redford city Arena
55	19900	55	Matraville city Arena
56	14200	56	Newcastle city Arena
57	10800	57	N. Vancouver city Arena
58	10600	58	Kennewick city Arena
59	9600	59	Milwaukie city Arena
60	14300	60	Jefferson City city Arena
61	16600	61	Ellensburg city Arena
62	13700	62	Hixson city Arena
63	17000	63	Stockton city Arena
64	13000	64	Woolston city Arena
65	15900	65	Burnaby city Arena
66	10800	66	Everett city Arena
67	18400	67	Edmonds city Arena
68	19800	68	Mosinee city Arena
69	19900	69	Park City city Arena
70	21900	70	Sacramento city Arena
71	22000	71	Saint-Denis city Arena
72	18900	72	Port Orchard city Arena
73	9800	73	North York city Arena
74	13900	74	Tigard city Arena
75	23100	75	Ferguson city Arena
76	10800	76	Cheyenne city Arena
77	11400	77	Hooksett city Arena
78	15100	78	Charlotte city Arena
79	12200	79	Gulfport city Arena
80	17300	80	Metchosin city Arena
81	15700	81	Lane Cove city Arena
82	16700	82	Baytown city Arena
83	10600	83	Oregon City city Arena
84	11300	84	St. Leonards city Arena
85	15100	85	Cincinnati city Arena
86	13800	86	Glendale city Arena
87	9200	87	Modesto city Arena
88	15700	88	Richmond city Arena
89	9200	89	Altadena city Arena
90	21600	90	Sèvres city Arena
91	10800	91	Newport Hills city Arena
92	15100	92	Corpus Christi city Arena
93	21200	93	Fort Wayne city Arena
94	17200	94	Montgomery city Arena
95	23200	95	Sedro Woolley city Arena
96	23500	96	Ontario city Arena
97	17200	97	Bradenton city Arena
98	17500	98	Medford city Arena
99	11200	99	Hamden city Arena
100	18400	100	Englewood city Arena
101	9900	101	Mesa city Arena
102	23500	102	La Vergne city Arena
103	18400	103	Midland city Arena
104	15900	104	Kenmore city Arena
105	14200	105	Portland city Arena
106	21200	106	Sainte-Foy city Arena
107	15400	107	Moline city Arena
108	18300	108	Brossard city Arena
109	19000	109	Newport News city Arena
110	18400	110	Sequim city Arena
111	9600	111	Wood Dale city Arena
112	12800	112	San Antonio city Arena
113	14400	113	Branson city Arena
114	14100	114	Fort Worth city Arena
115	22800	115	Round Rock city Arena
116	19600	116	Whittier city Arena
117	11300	117	Woodinville city Arena
118	21300	118	Augusta city Arena
119	13600	119	Virginia Beach city Arena
120	16700	120	Pantin city Arena
121	9600	121	Oakland city Arena
122	18600	122	Stamford city Arena
123	13900	123	Toronto city Arena
124	16700	124	Suresnes city Arena
125	22800	125	Gloucestershire city Arena
126	20200	126	Burbank city Arena
127	12300	127	Beverly Hills city Arena
128	21500	128	Norridge city Arena
129	9800	129	Myrtle Beach city Arena
130	21200	130	Tremblay-en-France city Arena
131	9700	131	Yakima city Arena
132	22900	132	Port Huron city Arena
133	23000	133	Sillery city Arena
134	12900	134	Central Valley city Arena
135	17000	135	Saint Louis city Arena
136	17300	136	San Jose city Arena
137	23100	137	Loveland city Arena
138	16800	138	Odessa city Arena
139	16000	139	Millington city Arena
140	13800	140	Solingen city Arena
141	11500	141	Kansas City city Arena
142	23200	142	Mill Valley city Arena
143	18300	143	Boulogne-sur-Mer city Arena
144	15600	144	Nashua city Arena
145	18300	145	Brisbane city Arena
146	13600	146	Boston city Arena
147	15900	147	Escondido city Arena
148	22800	148	Eilenburg city Arena
149	21600	149	Kingston city Arena
150	12200	150	Wokingham city Arena
151	20100	151	Braintree city Arena
152	18700	152	Hamburg city Arena
153	14000	153	Elgin city Arena
154	10800	154	Johnson Creek city Arena
155	18800	155	Burlingame city Arena
156	16600	156	Oak Bay city Arena
157	16000	157	Sugar Land city Arena
158	20100	158	Coronado city Arena
159	19000	159	Memphis city Arena
160	14500	160	Gold Coast city Arena
161	13000	161	Citrus Heights city Arena
162	15100	162	Hawthorne city Arena
163	11000	163	Townsville city Arena
164	10700	164	Winston-Salem city Arena
165	20400	165	Basingstoke Hants city Arena
166	10900	166	Santa Monica city Arena
167	17500	167	Spring Valley city Arena
168	18300	168	North Las Vegas city Arena
169	9900	169	Greensboro city Arena
170	19000	170	Falls Church city Arena
171	14500	171	Farmington city Arena
172	22900	172	Los Angeles city Arena
173	10000	173	Merritt Island city Arena
174	15100	174	West Kingston city Arena
175	12600	175	Berkeley city Arena
176	15700	176	Santa Cruz city Arena
177	10900	177	Newport city Arena
178	14400	178	San Carlos city Arena
179	23300	179	Richmond city Arena
180	9300	180	Westland city Arena
181	15700	181	Seaford city Arena
182	10800	182	Clackamas city Arena
183	10600	183	Richmond Hill city Arena
184	19000	184	Sunrise city Arena
185	9300	185	Somerset city Arena
186	12700	186	Bellflower city Arena
187	9500	187	Lemon Grove city Arena
188	16900	188	Saugus city Arena
189	17100	189	Tampa city Arena
190	21400	190	Santa Ana city Arena
191	23000	191	Rockhampton city Arena
192	21600	192	De Witt city Arena
193	9800	193	Gilbert city Arena
194	20100	194	Salzgitter city Arena
195	22600	195	Hayward city Arena
196	21400	196	Hervey Bay city Arena
197	21100	197	Missoula city Arena
198	9400	198	Melville city Arena
199	19800	199	Saint Ann city Arena
200	12700	200	Alhambra city Arena
201	21100	201	North Ryde city Arena
202	11300	202	Esher-Molesey city Arena
203	18700	203	Southgate city Arena
204	16800	204	Monrovia city Arena
205	21300	205	Mesquite city Arena
206	12800	206	Fremont city Arena
207	14200	207	Sarasota city Arena
208	22700	208	Norwood city Arena
209	22700	209	Cheltenham city Arena
210	19700	210	Rio Rancho city Arena
211	12700	211	Palo Alto city Arena
212	17100	212	Michigan City city Arena
213	23100	213	Markham city Arena
214	13800	214	Daleville city Arena
215	15700	215	Clarkston city Arena
216	14000	216	Chehalis city Arena
217	18600	217	Duluth city Arena
218	22000	218	Darlinghurst city Arena
219	16600	219	Kent city Arena
220	18100	220	Findon city Arena
221	21400	221	Milpitas city Arena
222	12600	222	Ogden city Arena
223	18500	223	Duvall city Arena
224	9200	224	Cranbourne city Arena
225	9900	225	Ingolstadt city Arena
226	23300	226	Marietta city Arena
227	16900	227	Edina city Arena
228	9100	228	Lake Oswego city Arena
229	23300	229	Decatur city Arena
230	23100	230	Minneapolis city Arena
231	17300	231	Lacey city Arena
232	14400	232	Paris city Arena
233	12500	233	Phoenix city Arena
234	10700	234	Kendall city Arena
235	23200	235	Rock Springs city Arena
236	18600	236	Branch city Arena
237	15600	237	Lakeland city Arena
238	13900	238	Melbourne city Arena
239	17100	239	Camarillo city Arena
240	11100	240	Las Cruces city Arena
241	21900	241	Mansfield city Arena
242	12100	242	Kirkland city Arena
243	11500	243	Clearwater city Arena
244	23200	244	Scarborough city Arena
245	11100	245	Milsons Point city Arena
246	16700	246	Crossville city Arena
247	11200	247	Puyallup city Arena
248	15900	248	Chicago city Arena
249	21500	249	Longview city Arena
250	22800	250	Dresden city Arena
251	16800	251	Courbevoie city Arena
252	21700	252	Sand City city Arena
253	23200	253	Savannah city Arena
254	23200	254	Berkshire city Arena
255	15800	255	Tupelo city Arena
256	13800	256	El Segundo city Arena
257	9200	257	Springwood city Arena
258	19900	258	Versailles city Arena
259	18300	259	Novi city Arena
260	18100	260	Sunbury city Arena
261	14500	261	Columbus city Arena
262	18300	262	Münster city Arena
263	15300	263	Frankfurt city Arena
264	18300	264	Bellevue city Arena
265	15200	265	Geelong city Arena
266	18900	266	Saint John city Arena
267	17000	267	Vancouver city Arena
268	12500	268	Norwalk city Arena
269	23200	269	St. Louis city Arena
270	16600	270	Mobile city Arena
271	18600	271	Lille city Arena
272	9300	272	Kelso city Arena
273	19700	273	Santa Fe city Arena
274	23100	274	Drancy city Arena
275	17500	275	Biloxi city Arena
276	12800	276	Orleans city Arena
277	21600	277	Peterborough city Arena
278	14200	278	Snohomish city Arena
279	18200	279	Nashville city Arena
280	14500	280	San Francisco city Arena
281	14300	281	Idaho Falls city Arena
282	15800	282	Grossmont city Arena
283	9700	283	Newcastle upon Tyne city Arena
284	13800	284	Ithaca city Arena
285	23000	285	Werne city Arena
286	14100	286	Plano city Arena
287	15500	287	Outremont city Arena
288	20100	288	Irving city Arena
289	14400	289	Saarbrücken city Arena
290	14300	290	South Bend city Arena
291	17100	291	Wrentham city Arena
292	21400	292	Longmont city Arena
293	23300	293	Denby city Arena
294	12800	294	San Gabriel city Arena
295	14000	295	Oberlin city Arena
296	15600	296	Liverpool city Arena
297	15200	297	Upland city Arena
298	16800	298	London city Arena
299	23000	299	Roubaix city Arena
