ClubID	Club	SportID
1	1 SC Ssk Vitkovice	6
2	1946 St. Petersburg - Kapitan Stupino	11
3	AA Aguas Santas	7
4	AA Avanca	7
5	AaB Handball	7
6	Aalborg Pirates	11
7	Aarhus Handball	7
8	AC Fafe	7
9	AC Sparta Prag	6
10	Admiral Vladivostok	11
11	Afturelding	7
12	Aifk	7
13	AIK	7
14	AIK IF	11
15	Air21 Express	4
16	Ajax Copenhagen	7
17	AK Bars Kazan	11
18	Akaa Volley	13
19	Akureyri Handboltafelag	7
20	Alingsås HK	7
21	Almaz Cherepovets	11
22	Almtuna IS	11
23	Amur Khabarovsk	11
24	Amurskie Tigry K.	11
25	Anglet Hormadi Elite	11
26	Ansan Rush&Cash	13
27	Antibes Sharks	4
28	Argentina	4
29	Argentina	9
30	Argentina	13
31	Argentino Junin	4
32	AS Beziers Herault	9
33	AS Monaco	4
34	ASG Angers	11
35	Ässät Pori	11
36	Asvel Lyon-Villeurbanne	4
37	Auckland	9
38	Australia	4
39	Australia	9
40	Australia	13
41	Aviron Bayonne	9
42	Aviv - BC Zalgiris Kaunas	4
43	Avto Yekaterinburg	11
44	Avtomobilist Yekaterinburg	11
45	Balatonfuredi Kse	7
46	Baltimore Ravens	2
47	Banco Di Sardegna Sassari	4
48	Bars Kazan	11
49	Baseti	7
50	Bay of Plenty	9
51	Bayern Munich	4
52	BC Alytaus Dzukija	4
53	BC Lietkabelis	4
54	BC River Andorra	4
55	Bedford	9
56	Belarus	11
57	Belgium	4
58	Belgium	13
59	Belye Medvedi	11
60	Benetton Treviso	9
61	Benlose FC	6
62	Beskid Nowy Sacz - EKS Start Elblag	7
63	BFC Vendsyssel	6
64	Biarritz Olympique	9
65	Bidasoa Irun	7
66	BIK Karlskoga	11
67	Bjerringbro	7
68	BK Heid	7
69	BK JIP Pardubice	4
70	BK Sluneta USTI Nad Labem	4
71	Blackwater Elite	4
72	Bnei Herzelia	4
73	Boca Juniors	4
74	Boden Handball IF	7
75	Bodens HF	11
76	Bordeaux Ghc	11
77	Borlänge HC	11
78	Boston College Eagles	2
79	Boulazac Basket	4
80	Bourg	9
81	Bourg De Peage	7
82	Brazil	13
83	Brest Bretagne Handball	7
84	Bristol Shoguns	9
85	Brynäs IF	11
86	BSV Bern Muri	7
87	Buffalo Sabres	11
88	Bulgaria	13
89	Bulldogs Brno	6
90	Buran Voronezh	11
91	Cameroon	13
92	Canada	4
93	Canada	13
94	Canterbury	9
95	Canterbury Bulldogs	9
96	Cardiff Blues	9
97	Castleford Tigers	9
98	Catalans Dragons	9
99	CCR Fermentoes	7
100	Ceng Tou	11
101	Cercle Dijon Bourgogne	7
102	Chaika Nizhny Nov.	11
103	Chambery Savoie	7
104	Chambray Touraine	7
105	Chamonix	11
106	Champ. Chalons Reims Basket	4
107	Charlotte 49ers	2
108	Cheetahs	9
109	Chehovski Medvedi	7
110	Chelmet Chelyabinsk	11
111	Cheonan Hyundai Capital Skywalkers	13
112	Chicago Bears	2
113	China	4
114	China	13
115	Cholet Basket	4
116	Chur Uhc	6
117	Cibona Zagreb	4
118	Cincinnati Bengals	2
119	CJF Fleury Les Aubrais	7
120	Classic Tampere	6
121	Club Atletico San Lorenzo De Almagro	4
122	Club Deportivo Hispano Americano	4
123	Cocks	7
124	Collingwood Magpies	12
125	Colomiers Rugby	9
126	Columbus Blue Jackets	11
127	Comunicaciones	4
128	Connacht Rugby	9
129	Coop Polva	7
130	Copenhagen SFC	6
131	Cornish Pirates	9
132	Corona Brasov	11
133	Counties Manukau	9
134	Coventry Rugby	9
135	Crailsheim Merlins	4
136	Cronulla Sharks	9
137	Crvena Zvezda Telekom	4
138	CSG Strasbourg	11
139	CSK VVS Samara	11
140	CSKA Moscow	11
141	Cuba	13
142	DAB Docler	11
143	Deajeon Bluefangs	13
144	Debreceni Egyetem AC	11
145	de-Fonds - HC Biasca	11
146	Denmark	7
147	DHC Rheinland	7
148	DHL Western Province	9
149	Dijon Bourgogne	4
150	Dinamo Baumit Bucuresti	7
151	Dizel Penza	11
152	Djurgaardens IF	11
153	Dominican Republic	13
154	Doncaster Knights	9
155	Dukla Trencin	11
156	Dunkerque HB	7
157	Ealing Trailfinders	9
158	EC S.feldkirch	11
159	Edinburgh Rugby	9
160	Efes Anadolu Istanbul	4
161	Eger Sbs	7
162	Egypt	13
163	EHC Biel	11
164	EHC Bregenzerwald	11
165	EHV Aue	7
166	Eisbären Bremerhaven	4
167	Elverum	7
168	Enköpings SK HK	11
169	ES Chalon	4
170	ESBF Besancon	7
171	Esbjerg Energy	11
172	Espoon Oilers	6
173	Estudiantes de Concordia	4
174	EV Zug	11
175	Exeter Chiefs	9
176	Färjestads BK	11
177	FBC Liberec	6
178	FBC Ostrava	6
179	FBC Pullo Trade Ceska Lipa	6
180	FBK Sokol Mlada Boleslav	6
181	FBS Bohemians	6
182	FBT Pori	6
183	FC Barcelona	7
184	FC Midtjylland	7
185	FC Porto Vitalis	7
186	Ferencvaros	11
187	FH Hafnarfjardar	7
188	FHK Elite	7
189	Fife Flyers	11
190	Floorball Köniz	6
191	Florida Atlantic Owls	2
192	Ford Pumas	9
193	Forshaga IF	11
194	FOS Ouest Provence Basket	4
195	Fraikin BM Granollers	7
196	France	4
197	France	7
198	France	13
199	Frederikshavn Blackhawks	6
200	Frederikshavn White Hawks	11
201	Frisk/Asker	11
202	Frölunda HC	11
203	FTC Budapest	7
204	Füchse Berlin	7
205	Galil Gilboa	4
206	Gasterra Flames Groningen	4
207	Geneve Servette HC	11
208	Gjovik Mammuts	11
209	GKS Katowice	11
210	Glasgow Warriors	9
211	Gloucester Rugby	9
212	GOG Handbold	7
213	Golden Lions	9
214	Gorniczy Klub Sportowy Tychy	11
215	Gornyak Uchaly	11
216	Grasshopper Club Zurich	6
