Team	TeamID	TournamentID	Club	ClubID	SportID
MNLA - 2018/19	1	57	BSV Bern Muri	86	7
MNLA - 2018/19	1	57	HC Kriens-Luzern	267	7
MNLA - 2018/19	1	57	K. Schaffhausen	365	7
MNLA - 2018/19	1	57	Pfadi Winterthur	509	7
MNLA - 2018/19	1	57	RTV 1879 Basel	558	7
MNLA - 2018/19	1	57	Wacker Thun	741	7
VHL - 2018/19	2	86	Bars Kazan	48	11
VHL - 2018/19	2	86	Buran Voronezh	90	11
VHL - 2018/19	2	86	Ceng Tou	100	11
VHL - 2018/19	2	86	Chelmet Chelyabinsk	110	11
VHL - 2018/19	2	86	CSK VVS Samara	139	11
VHL - 2018/19	2	86	Dizel Penza	151	11
VHL - 2018/19	2	86	Gornyak Uchaly	215	11
VHL - 2018/19	2	86	HC Tambov	285	11
VHL - 2018/19	2	86	HC Yugra Khanty-Mansiysk	292	11
VHL - 2018/19	2	86	HK Dinamo St Petersburg	303	11
VHL - 2018/19	2	86	HK Ryazan	311	11
VHL - 2018/19	2	86	HK Sarov	312	11
VHL - 2018/19	2	86	Izhstal Izhevsk	354	11
VHL - 2018/19	2	86	Kazzink	371	11
VHL - 2018/19	2	86	Khimik Voskresensk	373	11
VHL - 2018/19	2	86	KRS Heilongjiang	386	11
VHL - 2018/19	2	86	Lada Togliatti	393	11
VHL - 2018/19	2	86	Metallurg Novokuznetsk	435	11
VHL - 2018/19	2	86	Molot	449	11
VHL - 2018/19	2	86	Neftyanik Almetyevsk	466	11
VHL - 2018/19	2	86	Prikamje Perm - Yuzhny Ural Orsk	520	11
VHL - 2018/19	2	86	Rubin Tyumen	559	11
VHL - 2018/19	2	86	Saryarka	571	11
VHL - 2018/19	2	86	Sokol Krasnoyarsk	615	11
VHL - 2018/19	2	86	Toros Neftekamsk	676	11
VHL - 2018/19	2	86	Torpedo - Ermak Angarsk	677	11
VHL - 2018/19	2	86	VMF St Petersburg	738	11
VHL - 2018/19	2	86	Zauralye Kurgan	761	11
VHL - 2018/19	2	86	Zvezda Chekhov	767	11
English Premiership - 2018	3	28	Bristol Shoguns	84	9
English Premiership - 2018	3	28	Exeter Chiefs	175	9
English Premiership - 2018	3	28	Gloucester Rugby	211	9
English Premiership - 2018	3	28	Newcastle Falcons	473	9
Spagnola ACB - 2018/19	4	78	BC River Andorra	54	4
Spagnola ACB - 2018/19	4	78	Herbalife Gran Canaria	296	4
Spagnola ACB - 2018/19	4	78	Regal FC Barcelona	541	4
Spagnola ACB - 2018/19	4	78	UCAM Murcia	701	4
Spagnola ACB - 2018/19	4	78	Unicaja Malaga	708	4
Spagnola ACB - 2018/19	4	78	Valencia Basket	720	4
Allsvenskan - 2018/19	5	8	HK Aranäs	300	7
Allsvenskan - 2018/19	5	8	OV Helsingborg HK	497	7
Allsvenskan - 2018/19	5	8	Skaanela IF	602	7
Allsvenskan - 2018/19	5	8	Vasterasirsta HF	726	7
Latvian Hockey League - 2018/19	6	44	HK Prizma	309	11
Latvian Hockey League - 2018/19	6	44	Mogo Riga	448	11
Club Friendlies - 2018/19	7	16	Banco Di Sardegna Sassari	47	4
Club Friendlies - 2018/19	7	16	Brynäs IF	85	11
Club Friendlies - 2018/19	7	16	Efes Anadolu Istanbul	160	4
Club Friendlies - 2018/19	7	16	Färjestads BK	176	11
Club Friendlies - 2018/19	7	16	Gasterra Flames Groningen	206	4
Club Friendlies - 2018/19	7	16	HC Ambri Piotta	246	11
Club Friendlies - 2018/19	7	16	HC Davos	255	11
Club Friendlies - 2018/19	7	16	IF Björklöven	333	11
Club Friendlies - 2018/19	7	16	Luleaa Hockey	418	11
Club Friendlies - 2018/19	7	16	Mora IK	452	11
Club Friendlies - 2018/19	7	16	Telnet BC Oostende	662	4
Club Friendlies - 2018/19	7	16	Timraa IK	667	11
League Cup - 2018/19	8	45	Bnei Herzelia	72	4
League Cup - 2018/19	8	45	Galil Gilboa	205	4
League Cup - 2018/19	8	45	Hapoel Beer Sheva	231	4
League Cup - 2018/19	8	45	Hapoel Holon	232	4
League Cup - 2018/19	8	45	Maccabi Ashdod	423	4
League Cup - 2018/19	8	45	Maccabi Rishon Lezion	424	4
Eliteserien - 2018/19	9	26	Frisk/Asker	201	11
Eliteserien - 2018/19	9	26	IHK Sparta Sarpsborg	340	11
Eliteserien - 2018/19	9	26	Lillehammer IK	405	11
Eliteserien - 2018/19	9	26	Manglerud/Star	429	11
Eliteserien - 2018/19	9	26	Ringerike IHK	546	11
Eliteserien - 2018/19	9	26	Stavanger Oilers	639	11
Eliteserien - 2018/19	9	26	Stjernen Hockey	644	11
Eliteserien - 2018/19	9	26	Storhamar Dragons	645	11
Eliteserien - 2018/19	9	26	Valerenga IF	722	11
Salibandyliiga - 2018/19	10	73	Classic Tampere	120	6
Salibandyliiga - 2018/19	10	73	Espoon Oilers	172	6
Salibandyliiga - 2018/19	10	73	FBT Pori	182	6
Salibandyliiga - 2018/19	10	73	Happee	233	6
Salibandyliiga - 2018/19	10	73	Koovee	381	6
Salibandyliiga - 2018/19	10	73	LaSB	395	6
Salibandyliiga - 2018/19	10	73	Nokian Kristityt Palloilijat	476	6
Salibandyliiga - 2018/19	10	73	OLS Oulu	491	6
Salibandyliiga - 2018/19	10	73	SB Welhot	573	6
Salibandyliiga - 2018/19	10	73	SPV	632	6
Salibandyliiga - 2018/19	10	73	Steelers	641	6
Salibandyliiga - 2018/19	10	73	TPS	683	6
Salibandyliiga - 2018/19	10	73	Viikingit	732	6
Salibandyliiga - 2018/19	10	73	Westend Indians	750	6
SEHA League - 2018/19	11	74	HC Croatia Osiguranje Zagreb	253	7
SEHA League - 2018/19	11	74	HC Meshkov Brest	270	7
SEHA League - 2018/19	11	74	Steaua Bucharest	640	7
SEHA League - 2018/19	11	74	Vojvodina-Univerexport Novi Sad	740	7
SEHA League - 2018/19	11	74	Zeleznicar Indjija	763	7
Pro14 - 2018	12	71	Benetton Treviso	60	9
Pro14 - 2018	12	71	Cardiff Blues	96	9
Pro14 - 2018	12	71	Cheetahs	108	9
Pro14 - 2018	12	71	Connacht Rugby	128	9
Pro14 - 2018	12	71	Edinburgh Rugby	159	9
Pro14 - 2018	12	71	Glasgow Warriors	210	9
Pro14 - 2018	12	71	Leinster Lions	401	9
Pro14 - 2018	12	71	Munster	462	9
Pro14 - 2018	12	71	Newport Gwent Dragons	474	9
Pro14 - 2018	12	71	Ospreys	495	9
Pro14 - 2018	12	71	Scarlets	577	9
Pro14 - 2018	12	71	Ulster	707	9
Pro14 - 2018	12	71	Zebre	762	9
NHL - 2018/19	13	64	Buffalo Sabres	87	11
NHL - 2018/19	13	64	Columbus Blue Jackets	126	11
NHL - 2018/19	13	64	Minnesota Wild	441	11
NHL - 2018/19	13	64	New York Islanders	471	11
NHL - 2018/19	13	64	Philadelphia Flyers	510	11
NHL - 2018/19	13	64	Winnipeg Jets	756	11
BBL - 2018/19	14	12	Bayern Munich	51	4
BBL - 2018/19	14	12	Crailsheim Merlins	135	4
BBL - 2018/19	14	12	Eisbären Bremerhaven	166	4
BBL - 2018/19	14	12	London Lions	415	4
BBL - 2018/19	14	12	Medi Bayreuth	432	4
BBL - 2018/19	14	12	Rasta Vechta	530	4
BBL - 2018/19	14	12	Ratiopharm Ulm	531	4
BBL - 2018/19	14	12	Sheffield Sharks	593	4
BBL - 2018/19	14	12	Surrey Heat	650	4
BBL - 2018/19	14	12	Worcester Wolves	758	4
Basketligaen - 2018/19	15	11	Randers Cimbria	525	4
Basketligaen - 2018/19	15	11	Stevnsgade Supermen	642	4
Basketligaen - 2018/19	15	11	Team Fog Naestved	658	4
Basketligaen - 2018/19	15	11	Vaerlose BBK	719	4
UFL - 2018/19	16	84	Benlose FC	61	6
UFL - 2018/19	16	84	BFC Vendsyssel	63	6
UFL - 2018/19	16	84	Copenhagen SFC	130	6
UFL - 2018/19	16	84	Frederikshavn Blackhawks	199	6
UFL - 2018/19	16	84	Hvidovre Attack	331	6
UFL - 2018/19	16	84	Rödovre FC	554	6
UFL - 2018/19	16	84	Sunds Seahawks FC	647	6
UFL - 2018/19	16	84	Vanlose Floorball	724	6
Asobal - 2018/19	17	10	Bidasoa Irun	65	7
Asobal - 2018/19	17	10	FC Barcelona	183	7
Asobal - 2018/19	17	10	Fraikin BM Granollers	195	7
Asobal - 2018/19	17	10	Reale Ademar	538	7
1a Divisao - 2018/19	18	3	AA Aguas Santas	3	7
1a Divisao - 2018/19	18	3	AA Avanca	4	7
1a Divisao - 2018/19	18	3	AC Fafe	8	7
1a Divisao - 2018/19	18	3	CCR Fermentoes	99	7
1a Divisao - 2018/19	18	3	FC Porto Vitalis	185	7
1a Divisao - 2018/19	18	3	M - Sporting CP	420	7
1a Divisao - 2018/19	18	3	Sport Lisboa Benfica	630	7
Superliga - 2018/19	19	82	Beskid Nowy Sacz - EKS Start Elblag	62	7
Superliga - 2018/19	19	82	KS SPR Chrobry Glogow	387	7
Superliga - 2018/19	19	82	KS Vive Targi Kielce	389	7
Superliga - 2018/19	19	82	MKS Lublin	445	7
Superliga - 2018/19	19	82	MKS Zaglebie Lubin	446	7
Superliga - 2018/19	19	82	Pogon Handball Szczecin	515	7
Superliga - 2018/19	19	82	Spojnia Gdynia	629	7
Superliga - 2018/19	19	82	Vistal Gdynia	736	7
Superliga - 2018/19	19	82	Wisla Plock	757	7
NBL - 2018/19	20	63	BK JIP Pardubice	69	4
NBL - 2018/19	20	63	BK Sluneta USTI Nad Labem	70	4
SHL - 2018/19	21	75	Brynäs IF	85	11
SHL - 2018/19	21	75	Djurgaardens IF	152	11
SHL - 2018/19	21	75	Färjestads BK	176	11
SHL - 2018/19	21	75	Frölunda HC	202	11
SHL - 2018/19	21	75	HC Orebro	273	11
SHL - 2018/19	21	75	HV 71	330	11
SHL - 2018/19	21	75	Linköpings HC	410	11
SHL - 2018/19	21	75	Luleaa Hockey	418	11
SHL - 2018/19	21	75	Malmo IF	425	11
SHL - 2018/19	21	75	Mora IK	452	11
SHL - 2018/19	21	75	Rögle BK	556	11
SHL - 2018/19	21	75	Skellefteaa Aik	605	11
SHL - 2018/19	21	75	Timraa IK	667	11
SHL - 2018/19	21	75	Växjö Lakers HC	728	11
Pro A - 2018/19	22	69	Antibes Sharks	27	4
Pro A - 2018/19	22	69	AS Monaco	33	4
Pro A - 2018/19	22	69	Asvel Lyon-Villeurbanne	36	4
Pro A - 2018/19	22	69	Boulazac Basket	79	4
Pro A - 2018/19	22	69	Champ. Chalons Reims Basket	106	4
Pro A - 2018/19	22	69	Cholet Basket	115	4
Pro A - 2018/19	22	69	Dijon Bourgogne	149	4
Pro A - 2018/19	22	69	ES Chalon	169	4
Pro A - 2018/19	22	69	FOS Ouest Provence Basket	194	4
Pro A - 2018/19	22	69	Jeunesse Laique de Bourg	358	4
Pro A - 2018/19	22	69	JSF Nanterre	361	4
Pro A - 2018/19	22	69	Le Mans Basket	397	4
Pro A - 2018/19	22	69	Le Portel	398	4
Pro A - 2018/19	22	69	Limoges CSP	406	4
Pro A - 2018/19	22	69	Paris Levallois	500	4
Pro A - 2018/19	22	69	Pau Lacq Orthez	501	4
Pro A - 2018/19	22	69	Strasbourg IG	646	4
Pro A - 2018/19	22	69	Villeurbanne - Gravelines Grand Fort BCM	734	4
NFL - 2018/19	23	58	Baltimore Ravens	46	2
NFL - 2018/19	23	58	Chicago Bears	112	2
NFL - 2018/19	23	58	Cincinnati Bengals	118	2
NFL - 2018/19	23	58	Minnesota Vikings	440	2
NFL - 2018/19	23	58	Pittsburgh Steelers	514	2
NFL - 2018/19	23	58	Seattle Seahawks	581	2
NFL - 2018/19	23	58	St. Louis Rams	636	2
NFL - 2018/19	23	58	Tampa Bay Buccaneers	653	2
KHL - 2018/19	24	42	Admiral Vladivostok	10	11
KHL - 2018/19	24	42	AK Bars Kazan	17	11
KHL - 2018/19	24	42	Amur Khabarovsk	23	11
KHL - 2018/19	24	42	Avtomobilist Yekaterinburg	44	11
KHL - 2018/19	24	42	CSKA Moscow	140	11
KHL - 2018/19	24	42	HC Barys Astana	250	11
KHL - 2018/19	24	42	HC Dinamo Riga	257	11
KHL - 2018/19	24	42	HC Dynamo Moscow	259	11
KHL - 2018/19	24	42	HC Red Star Kunlun	274	11
KHL - 2018/19	24	42	HC Sochi	281	11
KHL - 2018/19	24	42	HC Traktor Chelyabinsk	288	11
KHL - 2018/19	24	42	HC Vitiaz Chehov	291	11
