City;StateProvinceID;CountryRegionCode;Name
Ottawa;57;CA;Canada
Burnaby;7;CA;Canada
Dunkerque;145;FR;France
Verrieres Le Buisson;177;FR;France
Verrieres Le Buisson;177;FR;France
Saint-Denis;179;FR;France
Seattle;79;US;United States
Les Ulis;177;FR;France
Miami;15;US;United States
Portland;58;US;United States
Los Angeles;9;US;United States
Courbevoie;178;FR;France
Paris;161;FR;France
Sèvres;178;FR;France
Roncq;145;FR;France
Paris;161;FR;France
Paris;161;FR;France
Saint-Denis;179;FR;France
Tremblay-en-France;179;FR;France
Colomiers;117;FR;France
Dunkerque;145;FR;France
Lille;145;FR;France
Paris;161;FR;France
Lieusaint;163;FR;France
Lille;145;FR;France
Versailles;164;FR;France
Paris;161;FR;France
Chatou;164;FR;France
Morangis;177;FR;France
Paris La Defense;178;FR;France
Roncq;145;FR;France
Sèvres;178;FR;France
Cergy;181;FR;France
Colombes;178;FR;France
Les Ulis;177;FR;France
Lille;145;FR;France
Roubaix;145;FR;France
Saint-Denis;179;FR;France
Versailles;164;FR;France
Metz;143;FR;France
Morangis;177;FR;France
Paris;161;FR;France
Paris;161;FR;France
Saint Germain en Laye;164;FR;France
Villeneuve-d'Ascq;145;FR;France
Boulogne-Billancourt;178;FR;France
Dunkerque;145;FR;France
Paris;161;FR;France
Versailles;164;FR;France
Croix;145;FR;France
Les Ulis;177;FR;France
Orleans;131;FR;France
Paris;161;FR;France
Paris;161;FR;France
Saint Ouen;127;FR;France
Lebanon;58;US;United States
Paris;161;FR;France
Roissy en Brie;163;FR;France
Paris;161;FR;France
Tremblay-en-France;179;FR;France
Verrieres Le Buisson;177;FR;France
Roubaix;145;FR;France
Pantin;179;FR;France
Suresnes;178;FR;France
Saint-Denis;179;FR;France
Lille;145;FR;France
Orleans;131;FR;France
Saint Germain en Laye;164;FR;France
Paris;161;FR;France
Bobigny;179;FR;France
Paris;161;FR;France
Orleans;131;FR;France
Courbevoie;178;FR;France
Sèvres;178;FR;France
Millington;72;US;United States
Paris;161;FR;France
Paris La Defense;178;FR;France
Everett;79;US;United States
Pantin;179;FR;France
